"Year","Month","Month_N","Quarter","Trading_Days","Avg_Close","Max_Close","Min_Close","Avg_Volume","Avg_Daily_Return","MoM_Return_Pct"
1927,"December",12,"Q4",1,17.66,17.66,17.66,0,0,0
1928,"January",1,"Q1",21,17.52,17.76,17.26,0,0,-1.07
1928,"February",2,"Q1",19,17.32,17.63,16.95,0,0,-1.54
1928,"March",3,"Q1",22,18.23,19.28,17.3,0,0,11.45
1928,"April",4,"Q2",20,19.37,19.75,18.91,0,0,4.44
1928,"May",5,"Q2",22,20,20.44,19.36,0,0,1.11
1928,"June",6,"Q2",21,18.99,20.07,18.34,0,0,-4.63
1928,"July",7,"Q3",21,19.16,19.48,18.7,0,0,2.37
1928,"August",8,"Q3",23,19.79,20.87,19.13,0,0,7.47
1928,"September",9,"Q3",19,21.17,21.43,20.92,0,0,0.81
1928,"October",10,"Q4",22,21.6,22,21.11,0,0,1.5
1928,"November",11,"Q4",20,23.1,24.28,21.95,0,0,10.41
1928,"December",12,"Q4",20,23.14,24.35,22.31,0,0,2.1
1929,"January",1,"Q1",22,24.87,25.74,24.17,0,0,3.75
1929,"February",2,"Q1",18,24.99,25.84,24.35,0,0,-0.97
1929,"March",3,"Q1",20,25.4,26.08,24.35,0,0,-1.16
1929,"April",4,"Q2",22,25.27,25.94,24.63,0,0,4.26
1929,"May",5,"Q2",22,25.61,26.37,24.2,0,0,-4.46
1929,"June",6,"Q2",20,26.15,27.41,25.27,0,0,8.47
1929,"July",7,"Q3",22,28.46,28.88,27.77,0,0,4
1929,"August",8,"Q3",22,30.12,31.71,28.38,0,0,9.04
1929,"September",9,"Q3",20,31.3,31.86,30.16,0,0,-5.22
1929,"October",10,"Q4",23,27.99,30.81,20.43,0,0,-19.45
1929,"November",11,"Q4",17,20.58,22.88,17.66,0,0,-8.57
1929,"December",12,"Q4",21,21.39,22.57,20.16,0,0,2.39
1930,"January",1,"Q1",22,21.72,22.79,21.18,0,0,7.6
1930,"February",2,"Q1",19,23.08,23.36,22.64,0,0,2.37
1930,"March",3,"Q1",21,23.91,24.85,23.36,0,0,3.38
1930,"April",4,"Q2",21,25.43,25.92,24.73,0,0,-1.85
1930,"May",5,"Q2",21,23.95,24.57,22.98,0,0,0.78
1930,"June",6,"Q2",21,21.6,24.4,19.39,0,0,-16.15
1930,"July",7,"Q3",22,21.02,21.82,19.83,0,0,4.79
1930,"August",8,"Q3",21,20.8,21.52,19.88,0,0,1.23
1930,"September",9,"Q3",21,20.77,21.86,18.59,0,0,-13.05
1930,"October",10,"Q4",22,17.93,19.42,16.9,0,0,-12.77
1930,"November",11,"Q4",18,16.59,17.2,15.54,0,0,-4.38
1930,"December",12,"Q4",22,15.55,16.96,14.44,0,0,-8.69
1931,"January",1,"Q1",21,15.92,16.42,15.09,0,0,2.15
1931,"February",2,"Q1",18,17.16,18.17,16.16,0,0,11.57
1931,"March",3,"Q1",22,17.54,18.06,16.66,0,0,-4.74
1931,"April",4,"Q2",21,15.83,16.72,14.37,0,0,-8.66
1931,"May",5,"Q2",21,14.29,15.44,13.02,0,0,-11.13
1931,"June",6,"Q2",22,13.84,15.35,12.2,0,0,19.6
1931,"July",7,"Q3",23,14.35,15.26,13.73,0,0,-8.89
1931,"August",8,"Q3",21,13.89,14.29,13.55,0,0,-0.5
1931,"September",9,"Q3",21,11.89,13.92,9.71,0,0,-30.24
1931,"October",10,"Q4",21,10.22,10.96,8.82,0,0,9.44
1931,"November",11,"Q4",19,10.42,11.52,9.31,0,0,-9.52
1931,"December",12,"Q4",22,8.41,9.38,7.72,0,0,-13.43
1932,"January",1,"Q1",20,8.33,8.92,7.55,0,0,5.03
1932,"February",2,"Q1",19,8.2,8.84,7.5,0,0,0.73
1932,"March",3,"Q1",22,8.25,8.98,7.31,0,0,-12.46
1932,"April",4,"Q2",21,6.27,7.18,5.83,0,0,-18.8
1932,"May",5,"Q2",21,5.52,6.09,4.47,0,0,-22.13
1932,"June",6,"Q2",22,4.75,5.12,4.4,0,0,0.68
1932,"July",7,"Q3",20,4.97,6.03,4.41,0,0,31.09
1932,"August",8,"Q3",23,7.52,8.58,5.87,0,0,37.32
1932,"September",9,"Q3",21,8.22,9.31,7.34,0,0,-4.6
1932,"October",10,"Q4",20,7.11,8.06,6.42,0,0,-13.65
1932,"November",11,"Q4",20,7.02,7.68,6.48,0,0,-3.11
1932,"December",12,"Q4",21,6.82,7.12,6.47,0,0,2.82
1933,"January",1,"Q1",21,7.09,7.34,6.83,0,0,1.61
1933,"February",2,"Q1",18,6.25,6.76,5.53,0,0,-15.14
