"Year","Trading_Days","Avg_Close","Max_Close","Min_Close","Avg_Volume","Avg_Daily_Return","Avg_Volatility","YTD_Return_Pct"
1927,1,17.66,17.66,17.66,0,0,NA,0
1928,250,19.94,24.35,16.95,0,0,0,37.11
1929,249,26.12,31.86,17.66,0,0,0,-13.54
1930,251,21.03,25.92,14.44,0,0,0,-27.57
1931,252,13.63,18.17,7.72,0,0,0,-48.77
1932,250,6.91,9.31,4.4,0,0,0,-8.47
1933,242,9.06,12.2,5.53,0,0,0,45.97
1934,249,9.83,11.82,8.36,0,0,0,-6.03
1935,250,10.58,13.46,8.06,0,0,0,41.22
1936,253,15.44,17.69,13.4,0,0,0,28.21
1937,250,15.38,18.67,10.17,0,0,0,-37.68
1938,250,11.47,13.91,8.5,0,0,0,24.9
1939,249,12.05,13.23,10.42,0,0,0,-4.74
1940,251,11.01,12.77,8.99,0,0,0,-16.23
1941,250,9.83,10.86,8.37,0,0,0,-17.08
1942,251,8.66,9.77,7.47,0,0,0,9.9
1943,250,11.52,12.64,9.89,0,0,0,17.64
1944,251,12.47,13.28,11.56,0,0,0,13.89
1945,246,15.13,17.68,13.21,0,0,0,30.23
1946,250,17.09,19.25,14.12,0,0,0,-11.3
1947,250,15.16,16.14,13.77,0,0,0,0.66
1948,251,15.55,17.06,13.84,0,0,0,-0.91
1949,250,15.22,16.79,13.55,0,0,0,12.31
1950,249,18.4,20.43,16.66,2009237,0,0,22.63
1951,249,22.32,23.85,20.69,1717590,0,0,14.44
1952,250,24.5,26.59,23.09,1308160,0,0,11.64
1953,251,24.72,26.66,22.71,1413147,0,0,-6.52
1954,252,29.72,35.98,24.8,2269762,0,0,44.21
1955,252,40.5,46.41,34.58,2573214,0,0,23.76
1956,251,46.64,49.64,43.11,2214462,0,0,3.34
1957,252,44.42,49.13,38.98,2217143,0,0,-13.44
1958,252,46.2,55.21,40.33,2962937,0,0,36.9
1959,253,57.42,60.71,53.58,3241304,0,0,8.03
1960,252,55.85,60.39,52.2,3041429,0,0,-3
1961,250,66.27,72.64,57.57,4071440,0,0,24.28
1962,252,62.32,71.13,52.32,3828651,-0.0556,0.8335,-11.08
1963,251,69.86,75.02,62.69,4571235,0.0652,0.4617,19.67
1964,253,81.37,86.28,75.43,4885850,0.0487,0.33,12.36
1965,252,88.16,92.63,81.6,6172063,0.0326,0.3778,9.74
1966,252,85.18,94.06,73.2,7528929,-0.0516,0.6776,-12.86
1967,251,91.96,97.59,80.38,10074980,0.0859,0.5082,20.02
1968,226,98.38,108.37,87.72,12967699,0.0273,0.5331,8.06
1969,250,97.77,106.16,89.2,11387920,-0.0453,0.5883,-11.42
